sample	condition	timepoint	strand	resolution filetype
GSM2745839	WTiii		R1	10000	cool
GSM2745840	WT		R1	10000	cool
GSM2745841	WT		R2	10000	cool
GSM2745842	WT	10m	R1	10000	cool
GSM2745843	WT	30m	R1	10000	cool
GSM2745844	WT	30m	R2	10000	cool
GSM2745845	WT	60m	R1	10000	cool
GSM2745846	WT	G2	R1	10000	cool
GSM2745847	WT	5m	R1	10000	cool
GSM2745848	WT	15m	R1	10000	cool
GSM2745849	WT	30m	R1	10000	cool
GSM2745850	WT	60m	R1	10000	cool
GSM2745851	WT	0m	R1	10000	cool
GSM2745852	WT	2m	R1	10000	cool
GSM2745853	WT	5m	R1	10000	cool
GSM2745854	WT	7m	R1	10000	cool
GSM2745855	WT	10m	R1	10000	cool
GSM2745856	WT	G2	R1	10000	cool
GSM2745857	WT	s15m	R1	10000	cool
GSM2745858	WT	s30m	R1	10000	cool
GSM2745859	WT	s60m	R1	10000	cool
GSM2745860	SMC2	sG2	R1	10000	cool
GSM2745861	SMC2	s10m	R1	10000	cool
GSM2745862	SMC2	s45m	R1	10000	cool
GSM2745863	SMC2	s75m	R1	10000	cool
GSM2745864	SMC2	G2	R1	10000	cool
GSM2745865	SMC2	G2	R2	10000	cool
GSM2745866	SMC2	10m	R2	10000	cool
GSM2745867	SMC2	45m	R2	10000	cool
GSM2745868	SMC2	75m	R2	10000	cool
GSM2745869	CAPH1	G2p	R1	10000	cool
GSM2745870	CAPH1	G2n	R1	10000	cool
GSM2745871	CAPH1	8m	R1	10000	cool
GSM2745872	CAPH1	10m	R1	10000	cool
GSM2745873	CAPH1	15m	R1	10000	cool
GSM2745874	CAPH1	30m	R1	10000	cool
GSM2745875	CAPH1	60m	R1	10000	cool
GSM2745876	CAPH2	G2p	R1	10000	cool
GSM2745877	CAPH2	G2n	R1	10000	cool
GSM2745878	CAPH2	8m	R1	10000	cool
GSM2745879	CAPH2	10m	R1	10000	cool
GSM2745880	CAPH2	15m	R1	10000	cool
GSM2745881	CAPH2	30m	R1	10000	cool
GSM2745882	CAPH2	60m	R1	10000	cool
GSM2745883	CAPH1	G2p	R2	10000	cool
GSM2745884	CAPH1	G2n	R2	10000	cool
GSM2745885	CAPH1	7m	R2	10000	cool
GSM2745886	CAPH1	10m	R2	10000	cool
GSM2745887	CAPH1	15m	R2	10000	cool
GSM2745888	CAPH1	30m	R2	10000	cool
GSM2745889	CAPH1	60m	R2	10000	cool
GSM2745890	CAPH2	G2p	R2	10000	cool
GSM2745891	CAPH2	G2n	R2	10000	cool
GSM2745892	CAPH2	7m	R2	10000	cool
GSM2745893	CAPH2	10m	R2	10000	cool
GSM2745894	CAPH2	15m	R2	10000	cool
GSM2745895	CAPH2	30m	R2	10000	cool
GSM2745896	CAPH2	60m	R2	10000	cool
